"rule_number","ossec_group"
"5702","sshd"
"5703","syslog"
"5703","sshd"
"5704","syslog"
"5704","sshd"
"5705","syslog"
"5705","sshd"
"5706","syslog"
"5706","sshd"
"5706","recon"
"5707","syslog"
"5707","sshd"
"5707","exploit_attempt"
"5709","syslog"
"5709","sshd"
"5710","syslog"
"5710","sshd"
"5710","invalid_login"
"5710","authentication_failed"
"5711","syslog"
"5711","sshd"
"5712","syslog"
"5712","sshd"
"5712","authentication_failures"
"5713","syslog"
"5713","sshd"
"5714","syslog"
"5714","sshd"
"5714","exploit_attempt"
"5715","syslog"
"5715","sshd"
"5715","authentication_success"
"5716","syslog"
"5716","sshd"
"5716","authentication_failed"
"5717","syslog"
"5717","sshd"
"5718","syslog"
"5718","sshd"
"5718","invalid_login"
"5719","syslog"
"5719","sshd"
"5720","syslog"
"5720","sshd"
"5720","authentication_failures"
"580","ossec"
"580","hostinfo"
"581","ossec"
"581","hostinfo"
"5901","syslog"
"5901","adduser"
"5902","syslog"
"5902","adduser"
"5903","syslog"
"5903","adduser"
"5904","syslog"
"5904","adduser"
"591","ossec"
"592","ossec"
"592","attacks"
"593","ossec"
"593","logs_cleared"
"6100","syslog"
